"LocationDesc","Topic","Stratification1","DataValue"
"Alaska","Chronic Kidney Disease","Hispanic",0
"Alaska","Chronic Kidney Disease","Male",332
"Alaska","Chronic Kidney Disease","Overall",589
"Alaska","Chronic Kidney Disease","White, non-Hispanic",365
"Alaska","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",289
"Alaska","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",0
"Alaska","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",0
"Alaska","Chronic Obstructive Pulmonary Disease","Female",589
"Alaska","Chronic Obstructive Pulmonary Disease","Hispanic",0
"Alaska","Chronic Obstructive Pulmonary Disease","Male",625
"Alaska","Chronic Obstructive Pulmonary Disease","Overall",1214
"Alaska","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",868
"Alaska","Diabetes","American Indian or Alaska Native",143
"Alaska","Diabetes","Asian or Pacific Islander",71
"Alaska","Diabetes","Black, non-Hispanic",0
"Alaska","Diabetes","Female",334
"Alaska","Diabetes","Hispanic",0
"Alaska","Diabetes","Male",535
"Alaska","Diabetes","Overall",587
"Alaska","Diabetes","White, non-Hispanic",563
"Alaska","Overarching Conditions","American Indian or Alaska Native",562
"Alaska","Overarching Conditions","Asian or Pacific Islander",106
"Alaska","Overarching Conditions","Black, non-Hispanic",83
"Alaska","Overarching Conditions","Female",824
"Alaska","Overarching Conditions","Hispanic",62
"Alaska","Overarching Conditions","Male",1447
"Alaska","Overarching Conditions","Overall",2271
"Alaska","Overarching Conditions","White, non-Hispanic",1439
"Arizona","Alcohol","American Indian or Alaska Native",428
"Arizona","Alcohol","Asian or Pacific Islander",0
"Arizona","Alcohol","Black, non-Hispanic",24
"Arizona","Alcohol","Female",908
"Arizona","Alcohol","Hispanic",514
"Arizona","Alcohol","Male",1471
"Arizona","Alcohol","Overall",2379
"Arizona","Alcohol","White, non-Hispanic",1341
"Arizona","Asthma","American Indian or Alaska Native",0
"Arizona","Asthma","Asian or Pacific Islander",0
"Arizona","Asthma","Black, non-Hispanic",0
"Arizona","Asthma","Female",100
"Arizona","Asthma","Hispanic",0
"Arizona","Asthma","Male",79
"Arizona","Asthma","Overall",179
"Arizona","Asthma","White, non-Hispanic",113
"Arizona","Cardiovascular Disease","American Indian or Alaska Native",2293
"Arizona","Cardiovascular Disease","Asian or Pacific Islander",1414
"Arizona","Cardiovascular Disease","Black, non-Hispanic",3116
"Arizona","Cardiovascular Disease","Female",41019
"Arizona","Cardiovascular Disease","Hispanic",10864
"Arizona","Cardiovascular Disease","Male",50832
"Arizona","Cardiovascular Disease","Overall",91851
"Arizona","Cardiovascular Disease","White, non-Hispanic",73046
"Arizona","Chronic Kidney Disease","American Indian or Alaska Native",463
"Arizona","Chronic Kidney Disease","Asian or Pacific Islander",127
"Arizona","Chronic Kidney Disease","Black, non-Hispanic",302
"Arizona","Chronic Kidney Disease","Female",3073
"Arizona","Chronic Kidney Disease","Hispanic",1217
"Arizona","Chronic Kidney Disease","Male",4064
"Arizona","Chronic Kidney Disease","Overall",7137
"Arizona","Chronic Kidney Disease","White, non-Hispanic",4975
"Arizona","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",230
"Arizona","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",137
"Arizona","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",452
"Arizona","Chronic Obstructive Pulmonary Disease","Female",9779
"Arizona","Chronic Obstructive Pulmonary Disease","Hispanic",1206
"Arizona","Chronic Obstructive Pulmonary Disease","Male",9960
"Arizona","Chronic Obstructive Pulmonary Disease","Overall",19739
"Arizona","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",17369
"Arizona","Diabetes","American Indian or Alaska Native",1160
"Arizona","Diabetes","Asian or Pacific Islander",322
"Arizona","Diabetes","Black, non-Hispanic",778
"Arizona","Diabetes","Female",6768
"Arizona","Diabetes","Hispanic",3415
"Arizona","Diabetes","Male",9854
"Arizona","Diabetes","Overall",11260
"Arizona","Diabetes","White, non-Hispanic",10715
"Arizona","Overarching Conditions","American Indian or Alaska Native",1441
"Arizona","Overarching Conditions","Asian or Pacific Islander",405
"Arizona","Overarching Conditions","Black, non-Hispanic",1189
"Arizona","Overarching Conditions","Female",8222
"Arizona","Overarching Conditions","Hispanic",4106
"Arizona","Overarching Conditions","Male",13567
"Arizona","Overarching Conditions","Overall",21789
"Arizona","Overarching Conditions","White, non-Hispanic",14206
"Arkansas","Alcohol","American Indian or Alaska Native",0
"Arkansas","Alcohol","Asian or Pacific Islander",0
"Arkansas","Alcohol","Black, non-Hispanic",87
"Arkansas","Alcohol","Female",371
"Arkansas","Alcohol","Hispanic",0
"Arkansas","Alcohol","Male",548
"Arkansas","Alcohol","Overall",919
"Arkansas","Alcohol","White, non-Hispanic",797
"Arkansas","Asthma","American Indian or Alaska Native",0
"Arkansas","Asthma","Asian or Pacific Islander",0
"Arkansas","Asthma","Black, non-Hispanic",0
"Arkansas","Asthma","Female",0
"Arkansas","Asthma","Hispanic",0
"Arkansas","Asthma","Male",20
"Arkansas","Asthma","Overall",67
"Arkansas","Asthma","White, non-Hispanic",40
"Arkansas","Cardiovascular Disease","American Indian or Alaska Native",0
"Arkansas","Cardiovascular Disease","Asian or Pacific Islander",288
"Arkansas","Cardiovascular Disease","Black, non-Hispanic",7575
"Arkansas","Cardiovascular Disease","Female",27760
"Arkansas","Cardiovascular Disease","Hispanic",496
"Arkansas","Cardiovascular Disease","Male",32609
"Arkansas","Cardiovascular Disease","Overall",60369
"Arkansas","Cardiovascular Disease","White, non-Hispanic",51758
"Arkansas","Chronic Kidney Disease","American Indian or Alaska Native",0
"Arkansas","Chronic Kidney Disease","Asian or Pacific Islander",21
"Arkansas","Chronic Kidney Disease","Black, non-Hispanic",1002
"Arkansas","Chronic Kidney Disease","Female",2411
"Arkansas","Chronic Kidney Disease","Hispanic",56
"Arkansas","Chronic Kidney Disease","Male",2725
"Arkansas","Chronic Kidney Disease","Overall",5136
"Arkansas","Chronic Kidney Disease","White, non-Hispanic",4034
"Arkansas","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",0
"Arkansas","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",0
"Arkansas","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",800
"Arkansas","Chronic Obstructive Pulmonary Disease","Female",6424
"Arkansas","Chronic Obstructive Pulmonary Disease","Hispanic",0
"Arkansas","Chronic Obstructive Pulmonary Disease","Male",6637
"Arkansas","Chronic Obstructive Pulmonary Disease","Overall",13061
"Arkansas","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",12169
"Arkansas","Diabetes","American Indian or Alaska Native",0
"Arkansas","Diabetes","Asian or Pacific Islander",28
"Arkansas","Diabetes","Black, non-Hispanic",1709
"Arkansas","Diabetes","Female",4176
"Arkansas","Diabetes","Hispanic",129
"Arkansas","Diabetes","Male",5424
"Arkansas","Diabetes","Overall",6483
"Arkansas","Diabetes","White, non-Hispanic",7675
"Arkansas","Overarching Conditions","American Indian or Alaska Native",0
"Arkansas","Overarching Conditions","Asian or Pacific Islander",96
"Arkansas","Overarching Conditions","Black, non-Hispanic",2460
"Arkansas","Overarching Conditions","Female",5410
"Arkansas","Overarching Conditions","Hispanic",212
"Arkansas","Overarching Conditions","Male",8037
"Arkansas","Overarching Conditions","Overall",13447
"Arkansas","Overarching Conditions","White, non-Hispanic",10632
"California","Alcohol","American Indian or Alaska Native",181
"California","Alcohol","Asian or Pacific Islander",540
"California","Alcohol","Black, non-Hispanic",526
"California","Alcohol","Female",3917
"California","Alcohol","Hispanic",4315
"California","Alcohol","Male",7048
"California","Alcohol","Overall",10965
"California","Alcohol","White, non-Hispanic",5364
"California","Asthma","American Indian or Alaska Native",0
"California","Asthma","Asian or Pacific Islander",133
"California","Asthma","Black, non-Hispanic",120
"California","Asthma","Female",456
"California","Asthma","Hispanic",151
"California","Asthma","Male",308
"California","Asthma","Overall",764
"California","Asthma","White, non-Hispanic",357
"California","Cardiovascular Disease","American Indian or Alaska Native",2652
"California","Cardiovascular Disease","Asian or Pacific Islander",51690
"California","Cardiovascular Disease","Black, non-Hispanic",40003
"California","Cardiovascular Disease","Female",223889
"California","Cardiovascular Disease","Hispanic",83815
"California","Cardiovascular Disease","Male",256416
"California","Cardiovascular Disease","Overall",480305
"California","Cardiovascular Disease","White, non-Hispanic",301021
"California","Chronic Kidney Disease","American Indian or Alaska Native",330
"California","Chronic Kidney Disease","Asian or Pacific Islander",5900
"California","Chronic Kidney Disease","Black, non-Hispanic",4545
"California","Chronic Kidney Disease","Female",20865
"California","Chronic Kidney Disease","Hispanic",10732
"California","Chronic Kidney Disease","Male",26177
"California","Chronic Kidney Disease","Overall",47042
"California","Chronic Kidney Disease","White, non-Hispanic",25392
"California","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",543
"California","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",5014
"California","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",5401
"California","Chronic Obstructive Pulmonary Disease","Female",38463
"California","Chronic Obstructive Pulmonary Disease","Hispanic",7947
"California","Chronic Obstructive Pulmonary Disease","Male",39161
"California","Chronic Obstructive Pulmonary Disease","Overall",77624
"California","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",58418
"California","Diabetes","American Indian or Alaska Native",818
"California","Diabetes","Asian or Pacific Islander",13392
"California","Diabetes","Black, non-Hispanic",9670
"California","Diabetes","Female",43182
"California","Diabetes","Hispanic",26924
"California","Diabetes","Male",55591
"California","Diabetes","Overall",66711
"California","Diabetes","White, non-Hispanic",47727
"California","Overarching Conditions","American Indian or Alaska Native",983
"California","Overarching Conditions","Asian or Pacific Islander",9428
"California","Overarching Conditions","Black, non-Hispanic",11550
"California","Overarching Conditions","Female",37031
"California","Overarching Conditions","Hispanic",26720
"California","Overarching Conditions","Male",61868
"California","Overarching Conditions","Overall",98899
"California","Overarching Conditions","White, non-Hispanic",49775
"Colorado","Alcohol","American Indian or Alaska Native",57
"Colorado","Alcohol","Asian or Pacific Islander",0
"Colorado","Alcohol","Black, non-Hispanic",56
"Colorado","Alcohol","Female",647
"Colorado","Alcohol","Hispanic",508
"Colorado","Alcohol","Male",1145
"Colorado","Alcohol","Overall",1792
"Colorado","Alcohol","White, non-Hispanic",1147
"Colorado","Asthma","American Indian or Alaska Native",0
"Colorado","Asthma","Asian or Pacific Islander",0
"Colorado","Asthma","Black, non-Hispanic",0
"Colorado","Asthma","Female",67
"Colorado","Asthma","Hispanic",0
"Colorado","Asthma","Male",21
"Colorado","Asthma","Overall",100
"Colorado","Asthma","White, non-Hispanic",74
"Colorado","Cardiovascular Disease","American Indian or Alaska Native",296
"Colorado","Cardiovascular Disease","Asian or Pacific Islander",949
"Colorado","Cardiovascular Disease","Black, non-Hispanic",2397
"Colorado","Cardiovascular Disease","Female",27714
"Colorado","Cardiovascular Disease","Hispanic",5945
"Colorado","Cardiovascular Disease","Male",30859
"Colorado","Cardiovascular Disease","Overall",58573
"Colorado","Cardiovascular Disease","White, non-Hispanic",48799
"Colorado","Chronic Kidney Disease","American Indian or Alaska Native",54
"Colorado","Chronic Kidney Disease","Asian or Pacific Islander",137
"Colorado","Chronic Kidney Disease","Black, non-Hispanic",383
"Colorado","Chronic Kidney Disease","Female",3513
"Colorado","Chronic Kidney Disease","Hispanic",952
"Colorado","Chronic Kidney Disease","Male",3946
"Colorado","Chronic Kidney Disease","Overall",7459
"Colorado","Chronic Kidney Disease","White, non-Hispanic",5914
"Colorado","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",60
"Colorado","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",121
"Colorado","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",509
"Colorado","Chronic Obstructive Pulmonary Disease","Female",8026
"Colorado","Chronic Obstructive Pulmonary Disease","Hispanic",1276
"Colorado","Chronic Obstructive Pulmonary Disease","Male",8506
"Colorado","Chronic Obstructive Pulmonary Disease","Overall",16532
"Colorado","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",14462
"Colorado","Diabetes","American Indian or Alaska Native",148
"Colorado","Diabetes","Asian or Pacific Islander",274
"Colorado","Diabetes","Black, non-Hispanic",832
"Colorado","Diabetes","Female",5882
"Colorado","Diabetes","Hispanic",2318
"Colorado","Diabetes","Male",7295
"Colorado","Diabetes","Overall",8965
"Colorado","Diabetes","White, non-Hispanic",9543
"Colorado","Overarching Conditions","American Indian or Alaska Native",201
"Colorado","Overarching Conditions","Asian or Pacific Islander",260
"Colorado","Overarching Conditions","Black, non-Hispanic",882
"Colorado","Overarching Conditions","Female",5610
"Colorado","Overarching Conditions","Hispanic",2447
"Colorado","Overarching Conditions","Male",9186
"Colorado","Overarching Conditions","Overall",14796
"Colorado","Overarching Conditions","White, non-Hispanic",10908
"Connecticut","Alcohol","American Indian or Alaska Native",0
"Connecticut","Alcohol","Asian or Pacific Islander",0
"Connecticut","Alcohol","Black, non-Hispanic",21
"Connecticut","Alcohol","Female",270
"Connecticut","Alcohol","Hispanic",90
"Connecticut","Alcohol","Male",498
"Connecticut","Alcohol","Overall",768
"Connecticut","Alcohol","White, non-Hispanic",628
"Connecticut","Asthma","American Indian or Alaska Native",0
"Connecticut","Asthma","Asian or Pacific Islander",0
"Connecticut","Asthma","Black, non-Hispanic",0
"Connecticut","Asthma","Female",49
"Connecticut","Asthma","Hispanic",0
"Connecticut","Asthma","Male",23
"Connecticut","Asthma","Overall",85
"Connecticut","Asthma","White, non-Hispanic",62
"Connecticut","Cardiovascular Disease","American Indian or Alaska Native",0
"Connecticut","Cardiovascular Disease","Asian or Pacific Islander",577
"Connecticut","Cardiovascular Disease","Black, non-Hispanic",3965
"Connecticut","Cardiovascular Disease","Female",26388
"Connecticut","Cardiovascular Disease","Hispanic",2370
"Connecticut","Cardiovascular Disease","Male",25788
"Connecticut","Cardiovascular Disease","Overall",52176
"Connecticut","Cardiovascular Disease","White, non-Hispanic",45195
"Connecticut","Chronic Kidney Disease","American Indian or Alaska Native",0
"Connecticut","Chronic Kidney Disease","Asian or Pacific Islander",57
"Connecticut","Chronic Kidney Disease","Black, non-Hispanic",576
"Connecticut","Chronic Kidney Disease","Female",2248
"Connecticut","Chronic Kidney Disease","Hispanic",286
"Connecticut","Chronic Kidney Disease","Male",2518
"Connecticut","Chronic Kidney Disease","Overall",4766
"Connecticut","Chronic Kidney Disease","White, non-Hispanic",3844
"Connecticut","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",0
"Connecticut","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",0
"Connecticut","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",406
"Connecticut","Chronic Obstructive Pulmonary Disease","Female",4475
"Connecticut","Chronic Obstructive Pulmonary Disease","Hispanic",273
"Connecticut","Chronic Obstructive Pulmonary Disease","Male",3633
"Connecticut","Chronic Obstructive Pulmonary Disease","Overall",8108
"Connecticut","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",7393
"Connecticut","Diabetes","American Indian or Alaska Native",0
"Connecticut","Diabetes","Asian or Pacific Islander",79
"Connecticut","Diabetes","Black, non-Hispanic",750
"Connecticut","Diabetes","Female",2941
"Connecticut","Diabetes","Hispanic",560
"Connecticut","Diabetes","Male",3476
"Connecticut","Diabetes","Overall",4385
"Connecticut","Diabetes","White, non-Hispanic",5021
"Connecticut","Overarching Conditions","American Indian or Alaska Native",0
"Connecticut","Overarching Conditions","Asian or Pacific Islander",130
"Connecticut","Overarching Conditions","Black, non-Hispanic",1392
"Connecticut","Overarching Conditions","Female",3865
"Connecticut","Overarching Conditions","Hispanic",1019
"Connecticut","Overarching Conditions","Male",6329
"Connecticut","Overarching Conditions","Overall",10194
"Connecticut","Overarching Conditions","White, non-Hispanic",7633
"Delaware","Alcohol","American Indian or Alaska Native",0
"Delaware","Alcohol","Asian or Pacific Islander",0
"Delaware","Alcohol","Black, non-Hispanic",0
"Delaware","Alcohol","Female",81
"Delaware","Alcohol","Hispanic",0
"Delaware","Alcohol","Male",146
"Delaware","Alcohol","Overall",227
"Delaware","Alcohol","White, non-Hispanic",187
"Delaware","Asthma","American Indian or Alaska Native",0
"Delaware","Asthma","Asian or Pacific Islander",0
"Delaware","Asthma","Black, non-Hispanic",0
"Delaware","Asthma","Female",0
"Delaware","Asthma","Hispanic",0
"Delaware","Asthma","Male",0
"Delaware","Asthma","Overall",0
"Delaware","Asthma","White, non-Hispanic",0
"Delaware","Cardiovascular Disease","American Indian or Alaska Native",0
"Delaware","Cardiovascular Disease","Asian or Pacific Islander",86
"Delaware","Cardiovascular Disease","Black, non-Hispanic",2470
"Delaware","Cardiovascular Disease","Female",7056
"Delaware","Cardiovascular Disease","Hispanic",150
"Delaware","Cardiovascular Disease","Male",8198
"Delaware","Cardiovascular Disease","Overall",15254
"Delaware","Cardiovascular Disease","White, non-Hispanic",12251
"Delaware","Chronic Kidney Disease","American Indian or Alaska Native",0
"Delaware","Chronic Kidney Disease","Asian or Pacific Islander",0
"Delaware","Chronic Kidney Disease","Black, non-Hispanic",382
"Delaware","Chronic Kidney Disease","Female",701
"Delaware","Chronic Kidney Disease","Hispanic",20
"Delaware","Chronic Kidney Disease","Male",834
"Delaware","Chronic Kidney Disease","Overall",1535
"Delaware","Chronic Kidney Disease","White, non-Hispanic",1084
"Delaware","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",0
"Delaware","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",0
"Delaware","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",339
"Delaware","Chronic Obstructive Pulmonary Disease","Female",1514
"Delaware","Chronic Obstructive Pulmonary Disease","Hispanic",0
"Delaware","Chronic Obstructive Pulmonary Disease","Male",1301
"Delaware","Chronic Obstructive Pulmonary Disease","Overall",2815
"Delaware","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",2429
"Delaware","Diabetes","American Indian or Alaska Native",0
"Delaware","Diabetes","Asian or Pacific Islander",0
"Delaware","Diabetes","Black, non-Hispanic",580
"Delaware","Diabetes","Female",875
"Delaware","Diabetes","Hispanic",0
"Delaware","Diabetes","Male",1294
"Delaware","Diabetes","Overall",1417
"Delaware","Diabetes","White, non-Hispanic",1501
"Delaware","Overarching Conditions","American Indian or Alaska Native",0
"Delaware","Overarching Conditions","Asian or Pacific Islander",0
"Delaware","Overarching Conditions","Black, non-Hispanic",851
"Delaware","Overarching Conditions","Female",1312
"Delaware","Overarching Conditions","Hispanic",100
"Delaware","Overarching Conditions","Male",2122
"Delaware","Overarching Conditions","Overall",3434
"Delaware","Overarching Conditions","White, non-Hispanic",2422
"District of Columbia","Alcohol","American Indian or Alaska Native",0
"District of Columbia","Alcohol","Asian or Pacific Islander",0
"District of Columbia","Alcohol","Black, non-Hispanic",93
"District of Columbia","Alcohol","Female",48
"District of Columbia","Alcohol","Hispanic",0
"District of Columbia","Alcohol","Male",75
"District of Columbia","Alcohol","Overall",123
"District of Columbia","Alcohol","White, non-Hispanic",0
"District of Columbia","Asthma","American Indian or Alaska Native",0
"District of Columbia","Asthma","Asian or Pacific Islander",0
"District of Columbia","Asthma","Black, non-Hispanic",0
"District of Columbia","Asthma","Female",0
"District of Columbia","Asthma","Hispanic",0
"District of Columbia","Asthma","Male",0
"District of Columbia","Asthma","Overall",0
"District of Columbia","Asthma","White, non-Hispanic",0
"District of Columbia","Cardiovascular Disease","American Indian or Alaska Native",0
"District of Columbia","Cardiovascular Disease","Asian or Pacific Islander",46
"District of Columbia","Cardiovascular Disease","Black, non-Hispanic",6796
"District of Columbia","Cardiovascular Disease","Female",4401
"District of Columbia","Cardiovascular Disease","Hispanic",200
"District of Columbia","Cardiovascular Disease","Male",4214
"District of Columbia","Cardiovascular Disease","Overall",8615
"District of Columbia","Cardiovascular Disease","White, non-Hispanic",1432
"District of Columbia","Chronic Kidney Disease","American Indian or Alaska Native",0
"District of Columbia","Chronic Kidney Disease","Asian or Pacific Islander",0
"District of Columbia","Chronic Kidney Disease","Black, non-Hispanic",611
"District of Columbia","Chronic Kidney Disease","Female",378
"District of Columbia","Chronic Kidney Disease","Hispanic",0
"District of Columbia","Chronic Kidney Disease","Male",363
"District of Columbia","Chronic Kidney Disease","Overall",741
"District of Columbia","Chronic Kidney Disease","White, non-Hispanic",94
"District of Columbia","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",0
"District of Columbia","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",0
"District of Columbia","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",688
"District of Columbia","Chronic Obstructive Pulmonary Disease","Female",487
"District of Columbia","Chronic Obstructive Pulmonary Disease","Hispanic",0
"District of Columbia","Chronic Obstructive Pulmonary Disease","Male",392
"District of Columbia","Chronic Obstructive Pulmonary Disease","Overall",879
"District of Columbia","Chronic Obstructive Pulmonary Disease","White, non-Hispanic",171
"District of Columbia","Diabetes","American Indian or Alaska Native",0
"District of Columbia","Diabetes","Asian or Pacific Islander",0
"District of Columbia","Diabetes","Black, non-Hispanic",1383
"District of Columbia","Diabetes","Female",715
"District of Columbia","Diabetes","Hispanic",0
"District of Columbia","Diabetes","Male",828
"District of Columbia","Diabetes","Overall",1050
"District of Columbia","Diabetes","White, non-Hispanic",113
"District of Columbia","Overarching Conditions","American Indian or Alaska Native",0
"District of Columbia","Overarching Conditions","Asian or Pacific Islander",0
"District of Columbia","Overarching Conditions","Black, non-Hispanic",2212
"District of Columbia","Overarching Conditions","Female",1032
"District of Columbia","Overarching Conditions","Hispanic",82
"District of Columbia","Overarching Conditions","Male",1520
"District of Columbia","Overarching Conditions","Overall",2552
"District of Columbia","Overarching Conditions","White, non-Hispanic",233
"Florida","Alcohol","American Indian or Alaska Native",0
"Florida","Alcohol","Asian or Pacific Islander",52
"Florida","Alcohol","Black, non-Hispanic",431
"Florida","Alcohol","Female",2421
"Florida","Alcohol","Hispanic",899
"Florida","Alcohol","Male",4116
"Florida","Alcohol","Overall",6537
"Florida","Alcohol","White, non-Hispanic",5134
"Florida","Asthma","American Indian or Alaska Native",0
"Florida","Asthma","Asian or Pacific Islander",0
"Florida","Asthma","Black, non-Hispanic",110
"Florida","Asthma","Female",266
"Florida","Asthma","Hispanic",86
"Florida","Asthma","Male",144
"Florida","Asthma","Overall",410
"Florida","Asthma","White, non-Hispanic",209
"Florida","Cardiovascular Disease","American Indian or Alaska Native",337
"Florida","Cardiovascular Disease","Asian or Pacific Islander",3850
"Florida","Cardiovascular Disease","Black, non-Hispanic",39545
"Florida","Cardiovascular Disease","Female",164824
"Florida","Cardiovascular Disease","Hispanic",48260
"Florida","Cardiovascular Disease","Male",191118
"Florida","Cardiovascular Disease","Overall",355942
"Florida","Cardiovascular Disease","White, non-Hispanic",263589
"Florida","Chronic Kidney Disease","American Indian or Alaska Native",21
"Florida","Chronic Kidney Disease","Asian or Pacific Islander",371
"Florida","Chronic Kidney Disease","Black, non-Hispanic",4530
"Florida","Chronic Kidney Disease","Female",11642
"Florida","Chronic Kidney Disease","Hispanic",3470
"Florida","Chronic Kidney Disease","Male",15351
"Florida","Chronic Kidney Disease","Overall",26993
"Florida","Chronic Kidney Disease","White, non-Hispanic",18568
"Florida","Chronic Obstructive Pulmonary Disease","American Indian or Alaska Native",79
"Florida","Chronic Obstructive Pulmonary Disease","Asian or Pacific Islander",343
"Florida","Chronic Obstructive Pulmonary Disease","Black, non-Hispanic",4263
"Florida","Chronic Obstructive Pulmonary Disease","Female",35443
